procs:2 root:1
vsize   time(usec)
1	0.200000
2	0.199000
4	0.200000
8	0.201000
16	0.202000
32	0.208000
64	0.219000
128	0.240000
256	0.271000
512	0.520000
1024	0.776000
2048	1.255000
4096	3.180000
8192	5.952000
16384	137.799000
32768	202.068000
65536	329.778000
131072	583.975000
262144	1093.220000
procs:3 root:1
vsize   time(usec)
1	0.351000
2	0.353000
4	0.355000
8	0.360000
16	0.363000
32	0.381000
64	0.559000
128	0.582000
256	0.869000
512	1.220000
1024	1.718000
2048	2.932000
4096	6.595000
8192	10.701000
16384	297.587000
32768	420.269000
65536	673.208000
131072	1196.673000
262144	2232.954000
procs:6 root:1
vsize   time(usec)
1	0.484000
2	0.483000
4	0.486000
8	0.491000
16	0.505000
32	0.795000
64	0.825000
128	0.934000
256	1.290000
512	1.687000
1024	2.527000
2048	4.258000
4096	9.422000
8192	17.533000
16384	507.740000
32768	686.320000
65536	1081.448000
131072	1823.435000
262144	3352.616000
procs:13 root:1
vsize   time(usec)
1	0.902000
2	0.921000
4	0.948000
8	0.976000
16	0.985000
32	1.002000
64	1.106000
128	1.232000
256	1.714000
512	2.320000
1024	3.371000
2048	5.531000
4096	12.475000
8192	23.352000
16384	638.036000
32768	898.052000
65536	1397.051000
131072	2398.744000
262144	4424.985000
procs:32 root:1
vsize   time(usec)
1	0.829000
2	0.826000
4	0.829000
8	0.828000
16	0.836000
32	1.286000
64	1.373000
128	1.494000
256	2.169000
512	2.888000
1024	4.148000
2048	6.941000
4096	15.094000
8192	28.627000
16384	808.336000
32768	1142.921000
65536	1783.681000
131072	3077.492000
262144	5735.240000
